[2026-04-19 09:04:20,929][root][INFO] - Epoch:  30 | Loss: 0.0019 | Val - MRR: 0.2313, MR:  437.63, H@1: 0.169, H@3: 0.249, H@10: 0.353 | Test - MRR: 0.2303 | *
[2026-04-19 09:08:52,620][root][INFO] - Epoch:  31 | Loss: 0.0019 | Val - MRR: 0.2328, MR:  439.13, H@1: 0.170, H@3: 0.252, H@10: 0.357 | Test - MRR: 0.2317 | *
[2026-04-19 09:12:56,271][root][INFO] - Epoch:  32 | Loss: 0.0019 | Val - MRR: 0.2338, MR:  422.16, H@1: 0.169, H@3: 0.254, H@10: 0.360 | Test - MRR: 0.2337 | *
[2026-04-19 09:17:25,573][root][INFO] - Epoch:  33 | Loss: 0.0019 | Val - MRR: 0.2369, MR:  422.39, H@1: 0.173, H@3: 0.257, H@10: 0.361 | Test - MRR: 0.2355 | *
[2026-04-19 09:21:47,576][root][INFO] - Epoch:  34 | Loss: 0.0019 | Val - MRR: 0.2373, MR:  419.23, H@1: 0.172, H@3: 0.258, H@10: 0.364 | Test - MRR: 0.2368 | *
[2026-04-19 09:26:16,395][root][INFO] - Epoch:  35 | Loss: 0.0019 | Val - MRR: 0.2390, MR:  399.70, H@1: 0.174, H@3: 0.259, H@10: 0.365 | Test - MRR: 0.2384 | *
[2026-04-19 09:30:43,990][root][INFO] - Epoch:  36 | Loss: 0.0019 | Val - MRR: 0.2410, MR:  399.26, H@1: 0.175, H@3: 0.262, H@10: 0.368 | Test - MRR: 0.2395 | *
[2026-04-19 09:35:07,954][root][INFO] - Epoch:  37 | Loss: 0.0018 | Val - MRR: 0.2414, MR:  400.95, H@1: 0.176, H@3: 0.262, H@10: 0.369 | Test - MRR: 0.2406 | *
[2026-04-19 09:39:16,538][root][INFO] - Epoch:  38 | Loss: 0.0018 | Val - MRR: 0.2432, MR:  386.48, H@1: 0.177, H@3: 0.265, H@10: 0.372 | Test - MRR: 0.2422 | *
[2026-04-19 09:43:42,441][root][INFO] - Epoch:  39 | Loss: 0.0018 | Val - MRR: 0.2448, MR:  382.37, H@1: 0.179, H@3: 0.265, H@10: 0.374 | Test - MRR: 0.2438 | *
[2026-04-19 09:48:09,292][root][INFO] - Epoch:  40 | Loss: 0.0018 | Val - MRR: 0.2455, MR:  372.06, H@1: 0.179, H@3: 0.267, H@10: 0.375 | Test - MRR: 0.2441 | *
[2026-04-19 09:52:35,462][root][INFO] - Epoch:  41 | Loss: 0.0018 | Val - MRR: 0.2473, MR:  380.69, H@1: 0.180, H@3: 0.269, H@10: 0.376 | Test - MRR: 0.2459 | *
[2026-04-19 09:56:59,976][root][INFO] - Epoch:  42 | Loss: 0.0018 | Val - MRR: 0.2485, MR:  369.32, H@1: 0.181, H@3: 0.271, H@10: 0.378 | Test - MRR: 0.2471 | *
[2026-04-19 10:01:08,123][root][INFO] - Epoch:  43 | Loss: 0.0018 | Val - MRR: 0.2502, MR:  355.52, H@1: 0.183, H@3: 0.272, H@10: 0.381 | Test - MRR: 0.2478 | *
[2026-04-19 10:05:35,974][root][INFO] - Epoch:  44 | Loss: 0.0018 | Val - MRR: 0.2502, MR:  351.90, H@1: 0.182, H@3: 0.273, H@10: 0.382 | Test - MRR: 0.2483 | *
[2026-04-19 10:10:01,771][root][INFO] - Epoch:  45 | Loss: 0.0018 | Val - MRR: 0.2526, MR:  351.38, H@1: 0.185, H@3: 0.275, H@10: 0.384 | Test - MRR: 0.2504 | *
[2026-04-19 10:14:26,948][root][INFO] - Epoch:  46 | Loss: 0.0018 | Val - MRR: 0.2540, MR:  351.90, H@1: 0.186, H@3: 0.275, H@10: 0.386 | Test - MRR: 0.2515 | *
[2026-04-19 10:18:45,495][root][INFO] - Epoch:  47 | Loss: 0.0018 | Val - MRR: 0.2554, MR:  347.47, H@1: 0.187, H@3: 0.277, H@10: 0.387 | Test - MRR: 0.2519 | *
[2026-04-19 10:23:09,957][root][INFO] - Epoch:  48 | Loss: 0.0018 | Val - MRR: 0.2572, MR:  349.89, H@1: 0.189, H@3: 0.279, H@10: 0.389 | Test - MRR: 0.2542 | *
[2026-04-19 10:27:13,642][root][INFO] - Epoch:  49 | Loss: 0.0018 | Val - MRR: 0.2586, MR:  338.86, H@1: 0.190, H@3: 0.281, H@10: 0.391 | Test - MRR: 0.2563 | *
[2026-04-19 10:31:37,522][root][INFO] - Epoch:  50 | Loss: 0.0018 | Val - MRR: 0.2591, MR:  340.40, H@1: 0.190, H@3: 0.281, H@10: 0.394 | Test - MRR: 0.2572 | *
[2026-04-19 10:35:58,694][root][INFO] - Epoch:  51 | Loss: 0.0018 | Val - MRR: 0.2623, MR:  337.54, H@1: 0.193, H@3: 0.284, H@10: 0.396 | Test - MRR: 0.2605 | *
[2026-04-19 10:40:22,770][root][INFO] - Epoch:  52 | Loss: 0.0017 | Val - MRR: 0.2633, MR:  320.11, H@1: 0.194, H@3: 0.286, H@10: 0.399 | Test - MRR: 0.2615 | *
[2026-04-19 10:44:45,802][root][INFO] - Epoch:  53 | Loss: 0.0017 | Val - MRR: 0.2653, MR:  317.45, H@1: 0.195, H@3: 0.288, H@10: 0.402 | Test - MRR: 0.2630 | *
[2026-04-19 10:48:56,403][root][INFO] - Epoch:  54 | Loss: 0.0017 | Val - MRR: 0.2655, MR:  301.80, H@1: 0.194, H@3: 0.289, H@10: 0.403 | Test - MRR: 0.2636 | *
[2026-04-19 10:53:18,997][root][INFO] - Epoch:  55 | Loss: 0.0017 | Val - MRR: 0.2689, MR:  303.27, H@1: 0.198, H@3: 0.293, H@10: 0.407 | Test - MRR: 0.2668 | *
[2026-04-19 10:57:40,167][root][INFO] - Epoch:  56 | Loss: 0.0017 | Val - MRR: 0.2708, MR:  290.60, H@1: 0.200, H@3: 0.293, H@10: 0.408 | Test - MRR: 0.2681 | *
