[2026-03-14 23:52:34,771][root][INFO] - 
------Config------
 {'dataset': 'WN18RR', 'epoch': 800, 'batch_size': 256, 'learning_rate': 0.0015, 'h_dim': 200, 'pred_rel_w': True, 'label_smooth': 0.1, 'n_heads': 4, 'topk': 5, 'kg_layer': 1, 'rm_rate': 0.4, 'ent_drop': 0.2, 'rel_drop': 0, 'comp_op': 'mul', 'bn': True, 'k_h': 10, 'k_w': 20, 'ent_drop_pred': 0.3, 'conv_drop': 0.1, 'fc_drop': 0.4, 'ker_sz': 7, 'out_channel': 250, 'device': 1, 'max_no_improve': 45, 'cpu_worker_num': 10, 'warmup_epoch': 5}
[2026-03-14 23:52:34,771][root][INFO] - Code dir path: /home/wangwei/DSGNet-main/DSGNet/code_new
[2026-03-14 23:52:34,771][root][INFO] - Config dir path: /home/wangwei/DSGNet-main/DSGNet/config
[2026-03-14 23:52:34,771][root][INFO] - Model save path: /home/wangwei/DSGNet-main/DSGNet/data/output/WN18RR/2026-03-14/23-52-34
[2026-03-14 23:52:37,193][root][INFO] - kg # node: 40943
[2026-03-14 23:52:37,193][root][INFO] - kg # edge: 173670
[2026-03-14 23:52:37,193][root][INFO] - kg # zero deg node: 384
[2026-03-14 23:52:37,193][root][INFO] - ---Load Train Data---
[2026-03-14 23:52:38,202][root][INFO] - -----Model Parameter Configuration-----
[2026-03-14 23:52:38,202][root][INFO] - Parameter ent_emb: torch.Size([40943, 200]), require_grad = True
[2026-03-14 23:52:38,202][root][INFO] - Parameter rel_w: torch.Size([200, 200]), require_grad = True
[2026-03-14 23:52:38,202][root][INFO] - Parameter W_fuse: torch.Size([200, 200]), require_grad = True
[2026-03-14 23:52:38,202][root][INFO] - Parameter a_fuse: torch.Size([400, 1]), require_grad = True
[2026-03-14 23:52:38,202][root][INFO] - Parameter rel_embs.0: torch.Size([22, 200]), require_grad = True
[2026-03-14 23:52:38,202][root][INFO] - Parameter predictor.bn0.weight: torch.Size([1]), require_grad = True
[2026-03-14 23:52:38,202][root][INFO] - Parameter predictor.bn0.bias: torch.Size([1]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter predictor.bn1.weight: torch.Size([250]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter predictor.bn1.bias: torch.Size([250]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter predictor.bn2.weight: torch.Size([200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter predictor.bn2.bias: torch.Size([200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter predictor.conv.weight: torch.Size([250, 1, 7, 7]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter predictor.fc.weight: torch.Size([200, 49000]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter L.weight: torch.Size([200, 200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter L.bias: torch.Size([200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter S.weight: torch.Size([200, 200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter S.bias: torch.Size([200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter comp_layers.0.W: torch.Size([200, 200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter comp_layers.0.W_r: torch.Size([200, 200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter comp_layers.0.a: torch.Size([600, 1]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter comp_layers.0.neigh_w: torch.Size([200, 200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter comp_layers.0.bn.weight: torch.Size([200]), require_grad = True
[2026-03-14 23:52:38,203][root][INFO] - Parameter comp_layers.0.bn.bias: torch.Size([200]), require_grad = True
[2026-03-14 23:52:39,130][root][INFO] - Training... total epoch: 800, step: 324000
[2026-03-14 23:53:50,883][root][INFO] - Epoch:   0 | Loss: 0.7534 | Val - MRR: 0.0001, MR: 26915.19, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0002 | *
[2026-03-14 23:54:56,076][root][INFO] - Epoch:   1 | Loss: 0.0021 | Val - MRR: 0.0001, MR: 26608.54, H@1: 0.000, H@3: 0.000, H@10: 0.000 | 
[2026-03-14 23:56:08,601][root][INFO] - Epoch:   2 | Loss: 0.0012 | Val - MRR: 0.0002, MR: 24921.93, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0002 | *
[2026-03-14 23:57:20,864][root][INFO] - Epoch:   3 | Loss: 0.0010 | Val - MRR: 0.0003, MR: 23454.85, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0003 | *
[2026-03-14 23:58:33,748][root][INFO] - Epoch:   4 | Loss: 0.0010 | Val - MRR: 0.0004, MR: 23240.22, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0004 | *
[2026-03-14 23:59:46,164][root][INFO] - Epoch:   5 | Loss: 0.0009 | Val - MRR: 0.0004, MR: 22564.56, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0005 | *
[2026-03-15 00:00:59,187][root][INFO] - Epoch:   6 | Loss: 0.0009 | Val - MRR: 0.0005, MR: 22182.94, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0005 | *
[2026-03-15 00:02:11,708][root][INFO] - Epoch:   7 | Loss: 0.0008 | Val - MRR: 0.0005, MR: 22300.84, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0006 | *
[2026-03-15 00:03:24,489][root][INFO] - Epoch:   8 | Loss: 0.0008 | Val - MRR: 0.0014, MR: 21883.38, H@1: 0.000, H@3: 0.001, H@10: 0.003 | Test - MRR: 0.0019 | *
