[2026-04-04 23:30:28,558][root][INFO] - Epoch:  11 | Loss: 0.0010 | Val - MRR: 0.0164, MR: 13290.46, H@1: 0.009, H@3: 0.016, H@10: 0.031 | Test - MRR: 0.0160 | *
[2026-04-04 23:31:47,158][root][INFO] - Epoch:  12 | Loss: 0.0010 | Val - MRR: 0.0193, MR: 12718.83, H@1: 0.010, H@3: 0.021, H@10: 0.035 | Test - MRR: 0.0202 | *
[2026-04-04 23:33:05,715][root][INFO] - Epoch:  13 | Loss: 0.0009 | Val - MRR: 0.0207, MR: 12825.78, H@1: 0.013, H@3: 0.020, H@10: 0.038 | Test - MRR: 0.0224 | *
[2026-04-04 23:34:16,509][root][INFO] - Epoch:  14 | Loss: 0.0009 | Val - MRR: 0.0183, MR: 15233.50, H@1: 0.010, H@3: 0.019, H@10: 0.035 | 
[2026-04-04 23:35:27,143][root][INFO] - Epoch:  15 | Loss: 0.0009 | Val - MRR: 0.0186, MR: 12691.01, H@1: 0.009, H@3: 0.019, H@10: 0.037 | 
[2026-04-04 23:36:44,839][root][INFO] - Epoch:  16 | Loss: 0.0008 | Val - MRR: 0.0236, MR: 12663.28, H@1: 0.013, H@3: 0.026, H@10: 0.043 | Test - MRR: 0.0226 | *
[2026-04-04 23:38:03,398][root][INFO] - Epoch:  17 | Loss: 0.0008 | Val - MRR: 0.0225, MR: 11670.16, H@1: 0.014, H@3: 0.022, H@10: 0.039 | Test - MRR: 0.0232 | *
[2026-04-04 23:39:22,456][root][INFO] - Epoch:  18 | Loss: 0.0008 | Val - MRR: 0.0245, MR: 11822.65, H@1: 0.015, H@3: 0.026, H@10: 0.042 | Test - MRR: 0.0264 | *
[2026-04-04 23:40:33,802][root][INFO] - Epoch:  19 | Loss: 0.0008 | Val - MRR: 0.0237, MR: 12078.50, H@1: 0.015, H@3: 0.022, H@10: 0.041 | 
[2026-04-04 23:41:45,394][root][INFO] - Epoch:  20 | Loss: 0.0008 | Val - MRR: 0.0239, MR: 12902.96, H@1: 0.014, H@3: 0.025, H@10: 0.043 | 
[2026-04-04 23:42:55,939][root][INFO] - Epoch:  21 | Loss: 0.0008 | Val - MRR: 0.0218, MR: 13348.36, H@1: 0.010, H@3: 0.023, H@10: 0.044 | 
[2026-04-04 23:44:07,079][root][INFO] - Epoch:  22 | Loss: 0.0008 | Val - MRR: 0.0222, MR: 12896.59, H@1: 0.011, H@3: 0.022, H@10: 0.044 | 
[2026-04-04 23:45:26,783][root][INFO] - Epoch:  23 | Loss: 0.0008 | Val - MRR: 0.0248, MR: 11155.49, H@1: 0.014, H@3: 0.025, H@10: 0.044 | Test - MRR: 0.0263 | *
[2026-04-04 23:46:38,043][root][INFO] - Epoch:  24 | Loss: 0.0008 | Val - MRR: 0.0235, MR: 11677.64, H@1: 0.013, H@3: 0.023, H@10: 0.045 | 
[2026-04-04 23:47:56,116][root][INFO] - Epoch:  25 | Loss: 0.0007 | Val - MRR: 0.0266, MR: 10082.62, H@1: 0.015, H@3: 0.027, H@10: 0.048 | Test - MRR: 0.0280 | *
[2026-04-04 23:49:07,826][root][INFO] - Epoch:  26 | Loss: 0.0007 | Val - MRR: 0.0259, MR: 9981.92, H@1: 0.013, H@3: 0.027, H@10: 0.048 | 
[2026-04-04 23:50:19,316][root][INFO] - Epoch:  27 | Loss: 0.0007 | Val - MRR: 0.0255, MR: 9353.80, H@1: 0.013, H@3: 0.026, H@10: 0.049 | 
[2026-04-04 23:51:30,882][root][INFO] - Epoch:  28 | Loss: 0.0007 | Val - MRR: 0.0262, MR: 8559.44, H@1: 0.014, H@3: 0.026, H@10: 0.051 | 
[2026-04-04 23:52:48,879][root][INFO] - Epoch:  29 | Loss: 0.0007 | Val - MRR: 0.0262, MR: 9136.42, H@1: 0.014, H@3: 0.026, H@10: 0.050 | Test - MRR: 0.0281 | *
[2026-04-04 23:54:07,904][root][INFO] - Epoch:  30 | Loss: 0.0007 | Val - MRR: 0.0288, MR: 7452.39, H@1: 0.015, H@3: 0.029, H@10: 0.052 | Test - MRR: 0.0300 | *
[2026-04-04 23:55:26,431][root][INFO] - Epoch:  31 | Loss: 0.0007 | Val - MRR: 0.0304, MR: 7564.04, H@1: 0.017, H@3: 0.029, H@10: 0.056 | Test - MRR: 0.0305 | *
[2026-04-04 23:56:44,081][root][INFO] - Epoch:  32 | Loss: 0.0007 | Val - MRR: 0.0288, MR: 7392.87, H@1: 0.015, H@3: 0.028, H@10: 0.057 | Test - MRR: 0.0306 | *
[2026-04-04 23:58:02,405][root][INFO] - Epoch:  33 | Loss: 0.0007 | Val - MRR: 0.0318, MR: 6892.00, H@1: 0.018, H@3: 0.030, H@10: 0.059 | Test - MRR: 0.0327 | *
[2026-04-04 23:59:20,044][root][INFO] - Epoch:  34 | Loss: 0.0007 | Val - MRR: 0.0340, MR: 6353.92, H@1: 0.018, H@3: 0.036, H@10: 0.061 | Test - MRR: 0.0337 | *
[2026-04-05 00:00:37,066][root][INFO] - Epoch:  35 | Loss: 0.0007 | Val - MRR: 0.0368, MR: 5734.84, H@1: 0.019, H@3: 0.039, H@10: 0.066 | Test - MRR: 0.0384 | *
[2026-04-05 00:01:56,878][root][INFO] - Epoch:  36 | Loss: 0.0007 | Val - MRR: 0.0387, MR: 5572.54, H@1: 0.018, H@3: 0.041, H@10: 0.076 | Test - MRR: 0.0398 | *
[2026-04-05 00:03:15,508][root][INFO] - Epoch:  37 | Loss: 0.0007 | Val - MRR: 0.0442, MR: 5217.92, H@1: 0.023, H@3: 0.045, H@10: 0.082 | Test - MRR: 0.0452 | *
[2026-04-05 00:04:34,993][root][INFO] - Epoch:  38 | Loss: 0.0006 | Val - MRR: 0.0506, MR: 4979.69, H@1: 0.028, H@3: 0.052, H@10: 0.090 | Test - MRR: 0.0484 | *
[2026-04-05 00:05:52,030][root][INFO] - Epoch:  39 | Loss: 0.0006 | Val - MRR: 0.0548, MR: 4871.30, H@1: 0.029, H@3: 0.056, H@10: 0.103 | Test - MRR: 0.0531 | *
[2026-04-05 00:07:09,057][root][INFO] - Epoch:  40 | Loss: 0.0006 | Val - MRR: 0.0597, MR: 4633.34, H@1: 0.031, H@3: 0.060, H@10: 0.112 | Test - MRR: 0.0585 | *
[2026-04-05 00:08:27,764][root][INFO] - Epoch:  41 | Loss: 0.0006 | Val - MRR: 0.0710, MR: 4702.72, H@1: 0.040, H@3: 0.074, H@10: 0.129 | Test - MRR: 0.0706 | *
[2026-04-05 00:09:45,906][root][INFO] - Epoch:  42 | Loss: 0.0006 | Val - MRR: 0.0792, MR: 4588.92, H@1: 0.047, H@3: 0.081, H@10: 0.141 | Test - MRR: 0.0749 | *
[2026-04-05 00:11:06,494][root][INFO] - Epoch:  43 | Loss: 0.0006 | Val - MRR: 0.1032, MR: 4047.82, H@1: 0.063, H@3: 0.111, H@10: 0.176 | Test - MRR: 0.0962 | *
[2026-04-05 00:12:24,692][root][INFO] - Epoch:  44 | Loss: 0.0006 | Val - MRR: 0.1161, MR: 4010.88, H@1: 0.074, H@3: 0.123, H@10: 0.198 | Test - MRR: 0.1093 | *
[2026-04-05 00:13:45,684][root][INFO] - Epoch:  45 | Loss: 0.0006 | Val - MRR: 0.1323, MR: 3743.83, H@1: 0.084, H@3: 0.144, H@10: 0.229 | Test - MRR: 0.1302 | *
[2026-04-05 00:15:04,546][root][INFO] - Epoch:  46 | Loss: 0.0006 | Val - MRR: 0.1555, MR: 3665.82, H@1: 0.105, H@3: 0.167, H@10: 0.258 | Test - MRR: 0.1515 | *
[2026-04-05 00:16:22,128][root][INFO] - Epoch:  47 | Loss: 0.0006 | Val - MRR: 0.1681, MR: 3677.67, H@1: 0.114, H@3: 0.187, H@10: 0.272 | Test - MRR: 0.1646 | *
[2026-04-05 00:17:42,529][root][INFO] - Epoch:  48 | Loss: 0.0006 | Val - MRR: 0.1825, MR: 3518.53, H@1: 0.124, H@3: 0.204, H@10: 0.293 | Test - MRR: 0.1753 | *
[2026-04-05 00:19:02,319][root][INFO] - Epoch:  49 | Loss: 0.0006 | Val - MRR: 0.2010, MR: 3280.90, H@1: 0.142, H@3: 0.224, H@10: 0.318 | Test - MRR: 0.1978 | *
[2026-04-05 00:20:22,422][root][INFO] - Epoch:  50 | Loss: 0.0006 | Val - MRR: 0.2086, MR: 3125.76, H@1: 0.149, H@3: 0.230, H@10: 0.329 | Test - MRR: 0.1995 | *
[2026-04-05 00:21:43,488][root][INFO] - Epoch:  51 | Loss: 0.0006 | Val - MRR: 0.2176, MR: 3085.36, H@1: 0.154, H@3: 0.245, H@10: 0.338 | Test - MRR: 0.2116 | *
[2026-04-05 00:23:02,877][root][INFO] - Epoch:  52 | Loss: 0.0006 | Val - MRR: 0.2303, MR: 3099.11, H@1: 0.168, H@3: 0.253, H@10: 0.356 | Test - MRR: 0.2229 | *
[2026-04-05 00:24:23,382][root][INFO] - Epoch:  53 | Loss: 0.0006 | Val - MRR: 0.2447, MR: 3018.33, H@1: 0.178, H@3: 0.274, H@10: 0.375 | Test - MRR: 0.2416 | *
[2026-04-05 00:25:43,027][root][INFO] - Epoch:  54 | Loss: 0.0006 | Val - MRR: 0.2514, MR: 2913.90, H@1: 0.185, H@3: 0.283, H@10: 0.380 | Test - MRR: 0.2443 | *
[2026-04-05 00:27:01,726][root][INFO] - Epoch:  55 | Loss: 0.0006 | Val - MRR: 0.2573, MR: 2927.56, H@1: 0.193, H@3: 0.287, H@10: 0.381 | Test - MRR: 0.2515 | *
[2026-04-05 00:28:21,252][root][INFO] - Epoch:  56 | Loss: 0.0005 | Val - MRR: 0.2663, MR: 2777.01, H@1: 0.197, H@3: 0.297, H@10: 0.402 | Test - MRR: 0.2631 | *
[2026-04-05 00:29:40,923][root][INFO] - Epoch:  57 | Loss: 0.0005 | Val - MRR: 0.2803, MR: 2904.92, H@1: 0.210, H@3: 0.314, H@10: 0.411 | Test - MRR: 0.2788 | *
[2026-04-05 00:30:58,365][root][INFO] - Epoch:  58 | Loss: 0.0005 | Val - MRR: 0.2805, MR: 2765.75, H@1: 0.211, H@3: 0.313, H@10: 0.416 | Test - MRR: 0.2772 | *
[2026-04-05 00:32:16,873][root][INFO] - Epoch:  59 | Loss: 0.0005 | Val - MRR: 0.2857, MR: 2835.79, H@1: 0.214, H@3: 0.323, H@10: 0.417 | Test - MRR: 0.2809 | *
[2026-04-05 00:33:36,363][root][INFO] - Epoch:  60 | Loss: 0.0005 | Val - MRR: 0.2891, MR: 2731.11, H@1: 0.217, H@3: 0.327, H@10: 0.426 | Test - MRR: 0.2867 | *
[2026-04-05 00:34:55,440][root][INFO] - Epoch:  61 | Loss: 0.0005 | Val - MRR: 0.3039, MR: 2750.98, H@1: 0.232, H@3: 0.343, H@10: 0.442 | Test - MRR: 0.3051 | *
[2026-04-05 00:36:13,763][root][INFO] - Epoch:  62 | Loss: 0.0005 | Val - MRR: 0.3085, MR: 2730.85, H@1: 0.236, H@3: 0.350, H@10: 0.444 | Test - MRR: 0.3036 | *
[2026-04-05 00:37:32,029][root][INFO] - Epoch:  63 | Loss: 0.0005 | Val - MRR: 0.3191, MR: 2751.13, H@1: 0.249, H@3: 0.355, H@10: 0.450 | Test - MRR: 0.3101 | *
[2026-04-05 00:38:50,242][root][INFO] - Epoch:  64 | Loss: 0.0005 | Val - MRR: 0.3252, MR: 2692.39, H@1: 0.253, H@3: 0.364, H@10: 0.462 | Test - MRR: 0.3164 | *
[2026-04-05 00:40:08,546][root][INFO] - Epoch:  65 | Loss: 0.0005 | Val - MRR: 0.3272, MR: 2660.00, H@1: 0.256, H@3: 0.366, H@10: 0.460 | Test - MRR: 0.3175 | *
[2026-04-05 00:41:27,472][root][INFO] - Epoch:  66 | Loss: 0.0005 | Val - MRR: 0.3323, MR: 2745.03, H@1: 0.259, H@3: 0.372, H@10: 0.466 | Test - MRR: 0.3283 | *
[2026-04-05 00:42:46,434][root][INFO] - Epoch:  67 | Loss: 0.0005 | Val - MRR: 0.3340, MR: 2772.70, H@1: 0.261, H@3: 0.375, H@10: 0.468 | Test - MRR: 0.3284 | *
[2026-04-05 00:44:04,774][root][INFO] - Epoch:  68 | Loss: 0.0005 | Val - MRR: 0.3346, MR: 2687.43, H@1: 0.263, H@3: 0.371, H@10: 0.467 | Test - MRR: 0.3290 | *
[2026-04-05 00:45:23,236][root][INFO] - Epoch:  69 | Loss: 0.0005 | Val - MRR: 0.3362, MR: 2731.34, H@1: 0.262, H@3: 0.381, H@10: 0.470 | Test - MRR: 0.3369 | *
[2026-04-05 00:46:41,334][root][INFO] - Epoch:  70 | Loss: 0.0005 | Val - MRR: 0.3454, MR: 2651.82, H@1: 0.273, H@3: 0.393, H@10: 0.471 | Test - MRR: 0.3415 | *
[2026-04-05 00:47:51,920][root][INFO] - Epoch:  71 | Loss: 0.0005 | Val - MRR: 0.3411, MR: 2701.86, H@1: 0.269, H@3: 0.380, H@10: 0.473 | 
[2026-04-05 00:49:10,825][root][INFO] - Epoch:  72 | Loss: 0.0005 | Val - MRR: 0.3538, MR: 2682.84, H@1: 0.283, H@3: 0.396, H@10: 0.478 | Test - MRR: 0.3514 | *
[2026-04-05 00:50:30,436][root][INFO] - Epoch:  73 | Loss: 0.0005 | Val - MRR: 0.3627, MR: 2722.09, H@1: 0.295, H@3: 0.402, H@10: 0.482 | Test - MRR: 0.3569 | *
[2026-04-05 00:51:40,753][root][INFO] - Epoch:  74 | Loss: 0.0005 | Val - MRR: 0.3597, MR: 2657.01, H@1: 0.290, H@3: 0.401, H@10: 0.485 | 
[2026-04-05 00:52:51,430][root][INFO] - Epoch:  75 | Loss: 0.0005 | Val - MRR: 0.3548, MR: 2689.34, H@1: 0.285, H@3: 0.394, H@10: 0.483 | 
[2026-04-05 00:54:10,257][root][INFO] - Epoch:  76 | Loss: 0.0005 | Val - MRR: 0.3597, MR: 2736.15, H@1: 0.290, H@3: 0.401, H@10: 0.486 | Test - MRR: 0.3585 | *
[2026-04-05 00:55:27,790][root][INFO] - Epoch:  77 | Loss: 0.0005 | Val - MRR: 0.3716, MR: 2559.66, H@1: 0.302, H@3: 0.412, H@10: 0.492 | Test - MRR: 0.3681 | *
[2026-04-05 00:56:45,285][root][INFO] - Epoch:  78 | Loss: 0.0005 | Val - MRR: 0.3714, MR: 2750.05, H@1: 0.302, H@3: 0.412, H@10: 0.495 | Test - MRR: 0.3683 | *
[2026-04-05 00:57:55,410][root][INFO] - Epoch:  79 | Loss: 0.0005 | Val - MRR: 0.3701, MR: 2665.02, H@1: 0.302, H@3: 0.411, H@10: 0.489 | 
[2026-04-05 00:59:13,516][root][INFO] - Epoch:  80 | Loss: 0.0005 | Val - MRR: 0.3715, MR: 2687.90, H@1: 0.302, H@3: 0.415, H@10: 0.493 | Test - MRR: 0.3671 | *
[2026-04-05 01:00:31,113][root][INFO] - Epoch:  81 | Loss: 0.0005 | Val - MRR: 0.3722, MR: 2678.98, H@1: 0.303, H@3: 0.414, H@10: 0.493 | Test - MRR: 0.3685 | *
[2026-04-05 01:01:49,648][root][INFO] - Epoch:  82 | Loss: 0.0005 | Val - MRR: 0.3821, MR: 2644.08, H@1: 0.316, H@3: 0.424, H@10: 0.496 | Test - MRR: 0.3760 | *
[2026-04-05 01:03:07,494][root][INFO] - Epoch:  83 | Loss: 0.0005 | Val - MRR: 0.3830, MR: 2655.78, H@1: 0.315, H@3: 0.424, H@10: 0.497 | Test - MRR: 0.3812 | *
[2026-04-05 01:04:18,879][root][INFO] - Epoch:  84 | Loss: 0.0005 | Val - MRR: 0.3804, MR: 2654.85, H@1: 0.313, H@3: 0.420, H@10: 0.499 | 
[2026-04-05 01:05:36,567][root][INFO] - Epoch:  85 | Loss: 0.0005 | Val - MRR: 0.3869, MR: 2755.14, H@1: 0.321, H@3: 0.427, H@10: 0.500 | Test - MRR: 0.3838 | *
[2026-04-05 01:06:47,633][root][INFO] - Epoch:  86 | Loss: 0.0005 | Val - MRR: 0.3796, MR: 2595.14, H@1: 0.310, H@3: 0.423, H@10: 0.500 | 
[2026-04-05 01:08:05,440][root][INFO] - Epoch:  87 | Loss: 0.0005 | Val - MRR: 0.3923, MR: 2692.82, H@1: 0.327, H@3: 0.431, H@10: 0.504 | Test - MRR: 0.3893 | *
[2026-04-05 01:09:23,550][root][INFO] - Epoch:  88 | Loss: 0.0005 | Val - MRR: 0.3934, MR: 2572.25, H@1: 0.329, H@3: 0.431, H@10: 0.505 | Test - MRR: 0.3936 | *
[2026-04-05 01:10:34,354][root][INFO] - Epoch:  89 | Loss: 0.0005 | Val - MRR: 0.3923, MR: 2629.95, H@1: 0.329, H@3: 0.429, H@10: 0.503 | 
[2026-04-05 01:11:52,641][root][INFO] - Epoch:  90 | Loss: 0.0005 | Val - MRR: 0.3979, MR: 2652.27, H@1: 0.335, H@3: 0.434, H@10: 0.507 | Test - MRR: 0.3964 | *
[2026-04-05 01:13:10,829][root][INFO] - Epoch:  91 | Loss: 0.0005 | Val - MRR: 0.3970, MR: 2656.43, H@1: 0.332, H@3: 0.439, H@10: 0.507 | Test - MRR: 0.3968 | *
[2026-04-05 01:14:29,839][root][INFO] - Epoch:  92 | Loss: 0.0005 | Val - MRR: 0.4046, MR: 2591.78, H@1: 0.341, H@3: 0.444, H@10: 0.511 | Test - MRR: 0.4076 | *
[2026-04-05 01:15:40,108][root][INFO] - Epoch:  93 | Loss: 0.0005 | Val - MRR: 0.4014, MR: 2658.22, H@1: 0.337, H@3: 0.441, H@10: 0.510 | 
[2026-04-05 01:16:51,183][root][INFO] - Epoch:  94 | Loss: 0.0005 | Val - MRR: 0.4004, MR: 2605.51, H@1: 0.338, H@3: 0.440, H@10: 0.509 | 
[2026-04-05 01:18:08,964][root][INFO] - Epoch:  95 | Loss: 0.0005 | Val - MRR: 0.4092, MR: 2662.84, H@1: 0.348, H@3: 0.446, H@10: 0.512 | Test - MRR: 0.4083 | *
[2026-04-05 01:19:19,858][root][INFO] - Epoch:  96 | Loss: 0.0005 | Val - MRR: 0.4067, MR: 2673.85, H@1: 0.346, H@3: 0.444, H@10: 0.509 | 
[2026-04-05 01:20:38,191][root][INFO] - Epoch:  97 | Loss: 0.0005 | Val - MRR: 0.4080, MR: 2768.79, H@1: 0.348, H@3: 0.444, H@10: 0.509 | Test - MRR: 0.4085 | *
[2026-04-05 01:21:56,436][root][INFO] - Epoch:  98 | Loss: 0.0005 | Val - MRR: 0.4093, MR: 2678.18, H@1: 0.348, H@3: 0.445, H@10: 0.511 | Test - MRR: 0.4116 | *
[2026-04-05 01:23:08,521][root][INFO] - Epoch:  99 | Loss: 0.0005 | Val - MRR: 0.4072, MR: 2679.57, H@1: 0.345, H@3: 0.442, H@10: 0.514 | 
[2026-04-05 01:24:25,285][root][INFO] - Epoch: 100 | Loss: 0.0005 | Val - MRR: 0.4098, MR: 2707.83, H@1: 0.348, H@3: 0.445, H@10: 0.514 | Test - MRR: 0.4097 | *
[2026-04-05 01:25:43,444][root][INFO] - Epoch: 101 | Loss: 0.0005 | Val - MRR: 0.4132, MR: 2659.51, H@1: 0.352, H@3: 0.452, H@10: 0.517 | Test - MRR: 0.4151 | *
[2026-04-05 01:27:01,945][root][INFO] - Epoch: 102 | Loss: 0.0005 | Val - MRR: 0.4149, MR: 2495.10, H@1: 0.355, H@3: 0.452, H@10: 0.518 | Test - MRR: 0.4147 | *
[2026-04-05 01:28:19,659][root][INFO] - Epoch: 103 | Loss: 0.0005 | Val - MRR: 0.4199, MR: 2628.67, H@1: 0.365, H@3: 0.452, H@10: 0.517 | Test - MRR: 0.4154 | *
[2026-04-05 01:29:30,499][root][INFO] - Epoch: 104 | Loss: 0.0005 | Val - MRR: 0.4107, MR: 2553.19, H@1: 0.351, H@3: 0.448, H@10: 0.513 | 
[2026-04-05 01:30:41,368][root][INFO] - Epoch: 105 | Loss: 0.0005 | Val - MRR: 0.4117, MR: 2598.20, H@1: 0.351, H@3: 0.448, H@10: 0.516 | 
[2026-04-05 01:31:59,838][root][INFO] - Epoch: 106 | Loss: 0.0005 | Val - MRR: 0.4174, MR: 2675.03, H@1: 0.361, H@3: 0.448, H@10: 0.516 | Test - MRR: 0.4187 | *
[2026-04-05 01:33:17,776][root][INFO] - Epoch: 107 | Loss: 0.0005 | Val - MRR: 0.4186, MR: 2661.86, H@1: 0.362, H@3: 0.449, H@10: 0.517 | Test - MRR: 0.4155 | *
[2026-04-05 01:34:35,772][root][INFO] - Epoch: 108 | Loss: 0.0005 | Val - MRR: 0.4189, MR: 2715.96, H@1: 0.362, H@3: 0.452, H@10: 0.518 | Test - MRR: 0.4178 | *
[2026-04-05 01:35:46,865][root][INFO] - Epoch: 109 | Loss: 0.0005 | Val - MRR: 0.4125, MR: 2679.45, H@1: 0.352, H@3: 0.446, H@10: 0.516 | 
[2026-04-05 01:37:04,313][root][INFO] - Epoch: 110 | Loss: 0.0005 | Val - MRR: 0.4219, MR: 2732.07, H@1: 0.365, H@3: 0.455, H@10: 0.520 | Test - MRR: 0.4220 | *
[2026-04-05 01:38:15,956][root][INFO] - Epoch: 111 | Loss: 0.0005 | Val - MRR: 0.4135, MR: 2668.01, H@1: 0.353, H@3: 0.449, H@10: 0.518 | 
[2026-04-05 01:39:28,942][root][INFO] - Epoch: 112 | Loss: 0.0005 | Val - MRR: 0.4211, MR: 2734.13, H@1: 0.364, H@3: 0.454, H@10: 0.520 | 
[2026-04-05 01:40:41,292][root][INFO] - Epoch: 113 | Loss: 0.0005 | Val - MRR: 0.4211, MR: 2676.01, H@1: 0.364, H@3: 0.455, H@10: 0.521 | 
