[2026-03-26 01:59:49,615][root][INFO] - Epoch:  11 | Loss: 0.0007 | Val - MRR: 0.0220, MR: 8768.59, H@1: 0.012, H@3: 0.023, H@10: 0.042 | 
[2026-03-26 02:01:04,770][root][INFO] - Epoch:  12 | Loss: 0.0007 | Val - MRR: 0.0249, MR: 8750.63, H@1: 0.013, H@3: 0.027, H@10: 0.047 | Test - MRR: 0.0256 | *
[2026-03-26 02:02:20,122][root][INFO] - Epoch:  13 | Loss: 0.0007 | Val - MRR: 0.0250, MR: 8612.00, H@1: 0.014, H@3: 0.026, H@10: 0.044 | Test - MRR: 0.0256 | *
[2026-03-26 02:03:28,570][root][INFO] - Epoch:  14 | Loss: 0.0007 | Val - MRR: 0.0241, MR: 8249.83, H@1: 0.013, H@3: 0.024, H@10: 0.047 | 
[2026-03-26 02:04:43,219][root][INFO] - Epoch:  15 | Loss: 0.0007 | Val - MRR: 0.0272, MR: 7536.52, H@1: 0.016, H@3: 0.026, H@10: 0.047 | Test - MRR: 0.0271 | *
[2026-03-26 02:05:51,584][root][INFO] - Epoch:  16 | Loss: 0.0007 | Val - MRR: 0.0271, MR: 8339.48, H@1: 0.014, H@3: 0.029, H@10: 0.051 | 
[2026-03-26 02:07:06,473][root][INFO] - Epoch:  17 | Loss: 0.0007 | Val - MRR: 0.0278, MR: 8845.09, H@1: 0.015, H@3: 0.031, H@10: 0.051 | Test - MRR: 0.0274 | *
[2026-03-26 02:08:15,482][root][INFO] - Epoch:  18 | Loss: 0.0007 | Val - MRR: 0.0263, MR: 8248.85, H@1: 0.013, H@3: 0.028, H@10: 0.051 | 
[2026-03-26 02:09:23,942][root][INFO] - Epoch:  19 | Loss: 0.0007 | Val - MRR: 0.0226, MR: 12724.65, H@1: 0.012, H@3: 0.024, H@10: 0.042 | 
[2026-03-26 02:10:40,691][root][INFO] - Epoch:  20 | Loss: 0.0007 | Val - MRR: 0.0280, MR: 8567.52, H@1: 0.014, H@3: 0.029, H@10: 0.052 | Test - MRR: 0.0286 | *
[2026-03-26 02:11:56,766][root][INFO] - Epoch:  21 | Loss: 0.0007 | Val - MRR: 0.0304, MR: 8663.82, H@1: 0.017, H@3: 0.032, H@10: 0.055 | Test - MRR: 0.0296 | *
[2026-03-26 02:13:05,365][root][INFO] - Epoch:  22 | Loss: 0.0007 | Val - MRR: 0.0302, MR: 7546.39, H@1: 0.016, H@3: 0.031, H@10: 0.055 | 
[2026-03-26 02:14:19,643][root][INFO] - Epoch:  23 | Loss: 0.0007 | Val - MRR: 0.0310, MR: 7401.22, H@1: 0.018, H@3: 0.030, H@10: 0.057 | Test - MRR: 0.0316 | *
[2026-03-26 02:15:35,465][root][INFO] - Epoch:  24 | Loss: 0.0007 | Val - MRR: 0.0325, MR: 8148.68, H@1: 0.017, H@3: 0.034, H@10: 0.059 | Test - MRR: 0.0328 | *
[2026-03-26 02:16:50,427][root][INFO] - Epoch:  25 | Loss: 0.0007 | Val - MRR: 0.0342, MR: 6798.24, H@1: 0.018, H@3: 0.035, H@10: 0.063 | Test - MRR: 0.0348 | *
[2026-03-26 02:18:06,363][root][INFO] - Epoch:  26 | Loss: 0.0007 | Val - MRR: 0.0372, MR: 6527.44, H@1: 0.020, H@3: 0.039, H@10: 0.066 | Test - MRR: 0.0381 | *
